2025-05-19 13:26:40.064 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-19 14:35:36.440 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-19 15:54:22.784 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-19 17:31:20.038 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-19 18:06:42.905 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-19 19:09:17.459 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', TimeoutError(60, 'Operation timed out'))
2025-05-19 19:25:59.594 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-19 20:27:09.937 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-19 20:56:30.627 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-19 22:08:24.229 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-19 22:25:28.689 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-19 22:39:53.953 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-20 07:53:50.373 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', TimeoutError(60, 'Operation timed out'))
2025-05-20 09:22:37.098 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-20 09:38:40.552 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-20 10:58:55.123 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-20 11:07:55.884 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-20 13:15:53.512 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-20 17:13:42.995 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-20 20:42:13.612 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-20 21:32:42.612 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 00:58:40.530 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
